    Updating crates.io index
 Downloading crates ...
  Downloaded anstyle v1.0.13
  Downloaded anstyle-query v1.1.5
  Downloaded aead v0.5.2
  Downloaded axum-core v0.4.5
  Downloaded ff v0.12.1
  Downloaded cpufeatures v0.3.0
  Downloaded constant_time_eq v0.4.2
  Downloaded ctr v0.9.2
  Downloaded bit-set v0.5.3
  Downloaded crypto-bigint v0.4.9
  Downloaded crc32fast v1.5.0
  Downloaded diff v0.1.13
  Downloaded dunce v1.0.5
  Downloaded form_urlencoded v1.2.2
  Downloaded cfg_aliases v0.2.1
  Downloaded futures-macro v0.3.31
  Downloaded futures-task v0.3.31
  Downloaded inout v0.1.4
  Downloaded is_terminal_polyfill v1.70.2
  Downloaded lazy_static v1.5.0
  Downloaded matchers v0.2.0
  Downloaded hex v0.4.3
  Downloaded md-5 v0.10.6
  Downloaded cmake v0.1.58
  Downloaded jobserver v0.1.34
  Downloaded lru-slab v0.1.2
  Downloaded num_threads v0.1.7
  Downloaded num_cpus v1.17.0
  Downloaded openssl-probe v0.1.6
  Downloaded http-body v1.0.1
  Downloaded heck v0.5.0
  Downloaded percent-encoding v2.3.2
  Downloaded matchit v0.8.4
  Downloaded pin-utils v0.1.0
  Downloaded icu_provider v2.1.1
  Downloaded google-workspace v0.22.5
  Downloaded num v0.4.3
  Downloaded potential_utf v0.1.4
  Downloaded phf v0.12.1
  Downloaded rfc6979 v0.3.1
  Downloaded powerfmt v0.2.0
  Downloaded pkg-config v0.3.33
  Downloaded primeorder v0.13.6
  Downloaded parking_lot_core v0.9.12
  Downloaded rusticata-macros v4.1.0
  Downloaded rustc_version v0.4.1
  Downloaded pkcs1 v0.7.5
  Downloaded rfc6979 v0.4.0
  Downloaded scopeguard v1.2.0
  Downloaded rsntp v4.1.2
  Downloaded iso8601 v0.6.3
  Downloaded separator v0.4.1
  Downloaded serde_spanned v0.6.9
  Downloaded serde_jcs v0.2.0
  Downloaded signature v2.2.0
  Downloaded signature v3.0.0
  Downloaded spki v0.6.0
  Downloaded rustls-pki-types v1.14.0
  Downloaded sync_wrapper v0.1.2
  Downloaded simd-adler32 v0.3.10
  Downloaded signal-hook-registry v1.4.8
  Downloaded tinyvec_macros v0.1.1
  Downloaded sync_wrapper v1.0.2
  Downloaded tower-layer v0.3.3
  Downloaded untrusted v0.9.0
  Downloaded version_check v0.9.5
  Downloaded want v0.3.1
  Downloaded vsimd v0.8.0
  Downloaded web-time v1.1.0
  Downloaded utoipa-swagger-ui v9.0.2
  Downloaded zeroize_derive v1.4.3
  Downloaded zeroize v1.8.2
  Downloaded yasna v0.6.0
  Downloaded zerovec-derive v0.11.2
  Downloaded x509-parser v0.18.1
  Downloaded zopfli v0.8.3
  Downloaded winnow v0.7.15
  Downloaded spki v0.7.3
  Downloaded synstructure v0.13.2
  Downloaded webpki-roots v1.0.6
  Downloaded zip v3.0.0
  Downloaded zerovec v0.11.5
  Downloaded rustls v0.23.36
  Downloaded regex-syntax v0.8.8
  Downloaded tokio-rustls v0.24.1
  Downloaded zlib-rs v0.6.7
  Downloaded octocrab v0.53.0
  Downloaded zerocopy v0.8.33
  Downloaded ed25519-dalek v2.2.0
  Downloaded toml v0.7.8
  Downloaded icu_collections v2.1.1
  Downloaded jsonschema v0.17.1
  Downloaded toml v0.9.12+spec-1.1.0
  Downloaded utoipa v5.5.0
  Downloaded zerotrie v0.2.3
  Downloaded yansi v1.0.1
  Downloaded yup-oauth2 v12.1.2
  Downloaded toml_edit v0.19.15
  Downloaded itertools v0.14.0
  Downloaded hashbrown v0.16.1
  Downloaded petgraph v0.7.1
  Downloaded hkdf v0.12.4
  Downloaded icu_properties_data v2.1.2
  Downloaded serde_json v1.0.149
  Downloaded p384 v0.13.1
  Downloaded hyper v0.14.32
  Downloaded winnow v1.0.4
  Downloaded time v0.3.47
  Downloaded tracing-subscriber v0.3.22
  Downloaded quinn-proto v0.11.13
  Downloaded tokio v1.49.0
  Downloaded curve25519-dalek v5.0.0
  Downloaded curve25519-dalek v4.1.3
  Downloaded aws-sdk-lambda v1.117.0
  Downloaded aws-sdk-cloudwatchlogs v1.119.0
  Downloaded h2 v0.3.27
  Downloaded h2 v0.4.15
  Downloaded chrono-tz v0.10.4
  Downloaded futures-util v0.3.31
  Downloaded hyper v1.8.1
  Downloaded rustls-webpki v0.103.9
  Downloaded tracing v0.1.44
  Downloaded rand v0.9.2
  Downloaded nom v7.1.3
  Downloaded mio v1.1.1
  Downloaded ed25519-dalek v3.0.0
  Downloaded num-bigint v0.4.6
  Downloaded aws-sdk-costexplorer v1.111.0
  Downloaded der v0.7.10
  Downloaded regex-automata v0.4.13
  Downloaded hyper-util v0.1.20
  Downloaded http v1.4.0
  Downloaded http v0.2.12
  Downloaded serde_yaml v0.9.34+deprecated
  Downloaded minimal-lexical v0.2.1
  Downloaded aws-sdk-eventbridge v1.102.0
  Downloaded aws-sdk-iam v1.105.0
  Downloaded socket2 v0.5.10
  Downloaded libc v0.2.180
  Downloaded icu_locale_core v2.1.1
  Downloaded fancy-regex v0.11.0
  Downloaded ring v0.17.14
  Downloaded sharded-slab v0.1.7
  Downloaded ryu v1.0.22
  Downloaded rust-embed v8.12.0
  Downloaded flate2 v1.1.9
  Downloaded icu_normalizer_data v2.1.1
  Downloaded fraction v0.13.1
  Downloaded walkdir v2.5.0
  Downloaded aws-sdk-ssm v1.106.0
  Downloaded utf8_iter v1.0.4
  Downloaded icu_normalizer v2.1.1
  Downloaded der-parser v10.0.0
  Downloaded aws-sdk-sns v1.96.0
  Downloaded zerocopy-derive v0.8.33
  Downloaded unicode-id v0.3.6
  Downloaded unicase v2.9.0
  Downloaded syn v2.0.114
  Downloaded simple_asn1 v0.6.4
  Downloaded sec1 v0.7.3
  Downloaded ryu-js v0.2.2
  Downloaded thiserror v1.0.69
  Downloaded parking_lot v0.12.5
  Downloaded roxmltree v0.14.1
  Downloaded log v0.4.29
  Downloaded der v0.6.1
  Downloaded rustls v0.21.12
  Downloaded quinn-udp v0.5.14
  Downloaded encoding_rs v0.8.35
  Downloaded jsonwebtoken v10.4.0
  Downloaded winnow v0.5.40
  Downloaded sysinfo v0.38.4
  Downloaded icu_properties v2.1.2
  Downloaded getrandom v0.3.4
  Downloaded futures v0.3.31
  Downloaded zmij v1.0.16
  Downloaded utoipa-gen v5.5.0
  Downloaded slab v0.4.11
  Downloaded pkcs8 v0.10.2
  Downloaded getrandom v0.2.17
  Downloaded elliptic-curve v0.13.8
  Downloaded elliptic-curve v0.12.3
  Downloaded aws-sdk-budgets v1.104.0
  Downloaded utf-8 v0.7.6
  Downloaded urlencoding v2.1.3
  Downloaded try-lock v0.2.5
  Downloaded tower-service v0.3.3
  Downloaded tokio-util v0.7.18
  Downloaded aws-sdk-bedrockruntime v1.126.0
  Downloaded tower-http v0.6.8
  Downloaded serde_path_to_error v0.1.20
  Downloaded semver v1.0.27
  Downloaded sec1 v0.3.0
  Downloaded seahash v4.1.0
  Downloaded sct v0.7.1
  Downloaded redb v4.1.0
  Downloaded aws-sdk-servicequotas v1.97.0
  Downloaded typenum v1.20.1
  Downloaded toml_datetime v0.6.11
  Downloaded rustversion v1.0.22
  Downloaded rustls-webpki v0.101.7
  Downloaded rustls-native-certs v0.8.4
  Downloaded pin-project-internal v1.1.13
  Downloaded chrono v0.4.44
  Downloaded aws-lc-rs v1.17.1
  Downloaded yoke v0.8.1
  Downloaded uuid v1.20.0
  Downloaded url v2.5.8
  Downloaded tower v0.5.3
  Downloaded reqwest v0.12.28
  Downloaded reqwest v0.11.27
  Downloaded regex v1.12.2
  Downloaded markdown v1.0.0
  Downloaded half v2.7.1
  Downloaded zerofrom-derive v0.1.6
  Downloaded zerofrom v0.1.6
  Downloaded yoke-derive v0.8.1
  Downloaded xmlparser v0.13.6
  Downloaded writeable v0.6.2
  Downloaded tungstenite v0.29.0
  Downloaded tracing-core v0.1.36
  Downloaded blake3 v1.8.5
  Downloaded unsafe-libyaml v0.2.11
  Downloaded tungstenite v0.24.0
  Downloaded tinyvec v1.10.0
  Downloaded iana-time-zone v0.1.65
  Downloaded hyper-rustls v0.27.7
  Downloaded aws-sdk-sts v1.99.0
  Downloaded unicode-ident v1.0.22
  Downloaded tracing-attributes v0.1.31
  Downloaded serde v1.0.228
  Downloaded aws-config v1.8.14
  Downloaded tracing-log v0.2.0
  Downloaded toml_writer v1.1.2+spec-1.1.0
  Downloaded toml_parser v1.1.3+spec-1.1.0
  Downloaded tokio-tungstenite v0.29.0
  Downloaded tokio-rustls v0.26.4
  Downloaded tiny_http v0.12.0
  Downloaded socket2 v0.6.2
  Downloaded snafu v0.8.9
  Downloaded rsa v0.9.10
  Downloaded regex-lite v0.1.9
  Downloaded libm v0.2.16
  Downloaded httparse v1.10.1
  Downloaded axum v0.8.9
  Downloaded utf8parse v0.2.2
  Downloaded toml_datetime v0.7.5+spec-1.1.0
  Downloaded tokio-tungstenite v0.24.0
  Downloaded time-macros v0.2.27
  Downloaded rand v0.8.5
  Downloaded num-bigint-dig v0.8.6
  Downloaded nom v8.0.0
  Downloaded iri-string v0.7.10
  Downloaded hybrid-array v0.4.14
  Downloaded http-body-util v0.1.3
  Downloaded futures-channel v0.3.31
  Downloaded tracing-serde v0.2.0
  Downloaded tokio-macros v2.6.1
  Downloaded tinystr v0.8.2
  Downloaded thread_local v1.1.9
  Downloaded thiserror-impl v2.0.18
  Downloaded spin v0.9.8
  Downloaded snafu-derive v0.8.9
  Downloaded serde_derive v1.0.228
  Downloaded serde_core v1.0.228
  Downloaded idna v1.1.0
  Downloaded fastrand v2.4.1
  Downloaded thiserror-impl v1.0.69
  Downloaded thiserror v2.0.18
  Downloaded smallvec v1.15.1
  Downloaded sha2 v0.11.0
  Downloaded quinn v0.11.9
  Downloaded hmac v0.12.1
  Downloaded schemars v0.8.22
  Downloaded rcgen v0.14.8
  Downloaded ecdsa v0.14.8
  Downloaded time-core v0.1.8
  Downloaded siphasher v1.0.2
  Downloaded axum v0.7.9
