
running 86 tests
test cards::tests::latest_failure_supersedes_an_earlier_pass ... ok
test cards::tests::latest_pass_supersedes_waiting_for_the_same_validation ... ok
test cutover::tests::clocks_and_deletion_authority_are_fixed ... ok
test cards::tests::validation_lane_rejects_free_rust_test_substring_before_execution ... ok
test cards::tests::bash_lane_requires_a_governed_repository_script ... ok
test eligibility::tests::schema_bundle_is_versioned ... ok
test cards::tests::owned_paths_accept_real_files_and_safe_future_descendants ... ok
test cards::tests::owned_paths_reject_every_symlink_component ... ok
test finish::tests::finish_rejects_conflicts_and_exact_target_drift ... ok
test finish::tests::merged_pr_derives_terminal_without_mutating_record ... ok
test finish::tests::open_pr_is_not_terminal ... ok
test git::tests::preparation_paths_are_not_metadata_safe ... ok
test finish::tests::finish_accepts_unstable_when_declared_required_checks_are_green ... ok
test github::tests::classifies_common_tail_states ... ok
test github::tests::classifies_mergeability_states_without_treating_pending_as_stale ... ok
test github::tests::exact_head_changes_requested_wins_over_exact_head_approval ... ok
test github::tests::issue_closing_pr_inventory_preserves_multiple_candidates ... ok
test github::tests::later_approval_supersedes_same_reviewer_changes_request ... ok
test github::tests::later_comment_does_not_revoke_same_reviewer_approval ... ok
test github::tests::later_comment_does_not_revoke_same_reviewer_changes_request ... ok
test github::tests::newer_check_run_identity_replaces_stale_duplicate_name ... ok
test github::tests::normalizes_every_supported_mergeability_variant_explicitly ... ok
test github::tests::producer_accepts_only_remote_closing_issue_linkage ... ok
test github::tests::rate_limit_signals_are_classified_without_network_retry_behavior ... ok
test github::tests::review_decision_ignores_approval_from_a_superseded_head ... ok
test github::tests::unstable_merge_state_ignores_optional_cancelled_and_unknown_checks ... ok
test github::tests::unstable_merge_state_requires_at_least_one_declared_required_check ... ok
test github::tests::unstable_merge_state_still_fails_closed_on_declared_required_checks ... ok
test github_token::tests::explicit_file_is_used ... ok
test lifecycle::fastwork_policy_tests::fastwork_policy_accepts_child_of_required_parent ... ok
test lifecycle::fastwork_policy_tests::fastwork_policy_fails_closed_when_required_policy_is_missing ... ok
test lifecycle::fastwork_policy_tests::fastwork_policy_is_required_for_github_equivalent_repository_casing ... ok
test lifecycle::fastwork_policy_tests::fastwork_policy_refuses_other_parent ... ok
test lifecycle::fastwork_policy_tests::matching_legacy_bound_topology_is_idempotent ... ok
test lifecycle::fastwork_policy_tests::ready_issue_local_checkout_cannot_bypass_policy ... ok
test operator::tests::v1_override_is_rejected_after_sunset ... ok
test output::tests::broken_pipe_is_normal_downstream_termination ... ok
test output::tests::unrelated_output_failures_remain_errors ... ok
test projection_recovery::tests::anchored_identity_check_rejects_name_swap_after_anchor_creation ... ok
test projection_recovery::tests::receipt_read_keeps_opened_regular_file_authority_after_path_swap ... ok
test projection_recovery::tests::retained_recovery_attempt_rejects_post_open_path_swap ... ok
test projection_recovery::tests::retained_recovery_root_rejects_post_open_path_swap ... ok
test runner_preflight::tests::assigned_expected_label_proves_dispatch ... ok
test runner_preflight::tests::malformed_and_foreign_workflow_refs_are_explicit ... ok
test runner_preflight::tests::policy_ineligible_takes_precedence_over_ready_capacity ... ok
test runner_preflight::tests::ready_and_policy_eligible_is_not_dispatch_proof ... ok
test runner_preflight::tests::ref_query_separates_stale_from_authorization_uncertainty ... ok
test runner_preflight::tests::repository_scope_and_workflow_restriction_are_both_required ... ok
test runner_preflight::tests::stale_job_context_cannot_prove_dispatch ... ok
test runner_preflight::tests::terminal_unassigned_inside_bound_is_not_a_timeout ... ok
test runner_preflight::tests::unassigned_job_over_bound_is_dispatch_unavailable ... ok
test runner_preflight::tests::unavailable_capacity_is_distinct_from_eligible_policy ... ok
test schema::tests::excludes_removed_claim_schemas ... ok
test schema::tests::historical_finish_request_schema_rejects_ambiguous_repositories_and_shas ... ok
test schema::tests::includes_runner_preflight_request_and_packet ... ok
test store::edit_authorization_tests::anchored_authored_read_ignores_ancestor_swap_back_to_hardlink_tree ... ok
test git::tests::shared_request_path_is_one_overwritten_git_common_file_per_issue ... ok
test store::edit_authorization_tests::anchored_authored_read_rejects_retained_hardlink_replacement ... ok
test store::edit_authorization_tests::approval_hashes_bind_exact_authored_bytes ... ok
test store::edit_authorization_tests::anchored_authored_read_rejects_same_length_in_place_mutation ... ok
test store::edit_authorization_tests::approval_hashing_rejects_hardlink_replacement_during_read ... ok
test store::edit_authorization_tests::authored_artifact_identity_distinguishes_equal_length_files ... ok
test store::edit_authorization_tests::approval_hashing_rejects_symlinked_authored_path ... ok
test store::edit_authorization_tests::canonical_fresh_design_reviewer_is_fail_closed ... ok
test store::edit_authorization_tests::authored_reader_rejects_non_utf8_path_before_open ... ok
test store::edit_authorization_tests::implemented_authored_design_refresh_accepts_expected_issue_local_copy_after_swap ... ok
test store::edit_authorization_tests::implemented_authored_design_refresh_is_exact_phase_and_card_only ... ok
test store::edit_authorization_tests::implemented_authored_design_refresh_rejects_hardlink_added_before_final_open ... ok
test store::edit_authorization_tests::failed_projection_rollback_preserves_unrelated_post_swap_state ... ok
test store::edit_authorization_tests::implemented_authored_design_refresh_rejects_preexisting_hardlinks ... ok
test store::edit_authorization_tests::implemented_review_remediation_authorizes_only_bounded_operations ... ok
test store::edit_authorization_tests::post_review_spp_replacements_remain_rejected ... ok
test store::pre_field_compatibility_tests::absent_code_repository_preserves_pre_field_record_and_receipt_digests ... ok
test store::edit_authorization_tests::implemented_authored_design_refresh_retains_handle_identity_until_commit_boundary ... ok
test eligibility::tests::all_authoritative_inputs_are_approval_bound ... ok
test eligibility::tests::default_partition_and_exact_overrides_derive_lines ... ok
test eligibility::tests::unknown_or_duplicate_overrides_are_invalid ... ok
test eligibility::tests::mandatory_phase_c_windows_fail_closed ... ok
test eligibility::tests::missing_approval_fails_closed ... ok
test eligibility::tests::malformed_digest_is_rejected ... ok
test eligibility::tests::exact_operator_approval_can_accelerate_protection_windows ... ok
test cutover::tests::changed_path_failure_restores_exact_original_bytes ... ok
test cutover::tests::failed_smoke_restores_v1 ... ok
test cutover::tests::successful_transaction_proves_v2_v1_v2_and_keeps_override ... ok
test cutover::tests::every_failed_smoke_restores_exact_original_selector_bytes ... ok
test cutover::tests::every_selector_write_error_restores_exact_original_bytes ... ok

test result: ok. 86 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.42s

    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.09s
     Running unittests src/lib.rs (csdlc-v2/target/debug/deps/csdlc_v2-05ef48f210cda9b5)
