issue	title	authority	disposition
5786	[v0.92][WP-21] Repository-wide code reduction cleanup	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5795	[v0.92][runtime][shepherd] Pull local Gemma/MLX Shepherd MVP forward	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5800	[v0.92][observatory][tls] Use browser-trusted local HTTPS certificate	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5801	[v0.92][WP-02A] CI and coverage reliability	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5812	[v0.92][runtime][quality] Restore Clippy cleanliness in csm_freedom_gate	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5820	[v0.92][WP-03] Runtime launch and resilience consolidation	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5821	[v0.92][WP-04] Distributed Guardian/polis runtime	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5822	[v0.92][WP-05] C-SDLC estimation and cycle-time reduction	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5823	[v0.92][WP-06] Remote validation/build runner	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5824	[v0.92][WP-07] Prompt-card enum typing	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5825	[v0.92][WP-08] Birthday contract and negative cases	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5826	[v0.92][WP-09] Stable name and identity architecture	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5827	[v0.92][WP-10] Continuity across bounded cycles	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5828	[v0.92][WP-11][runtime] Implement the first Memory Palace context-topology slice	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5829	[v0.92][WP-12] Capability envelope	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
5830	[v0.92][WP-13] ACP / cognitive profiles	danielbaustin/agent-design-language	preserve_on_legacy_tracker_until_terminal_or_explicitly_transferred
